Mt,Mh_abs,Mh_c6_0,Mh_c6_0_1,Mh_c6_1_0
106.00000,19.00670,0.00003,0.00003,0.00003
108.00000,21.36740,0.00003,0.00003,0.00003
110.00000,23.76655,0.00003,0.00003,0.00003
112.00000,26.20932,0.00003,0.00003,0.00003
114.00000,28.69865,0.00003,0.00003,0.00003
116.00000,31.23942,0.00003,0.00003,0.00003
118.00000,33.83186,0.00003,0.00003,0.00003
120.00000,36.47843,0.00003,0.00003,0.00003
122.00000,39.18067,0.00003,0.00003,0.00003
124.00000,41.93947,0.00003,0.00003,0.00003
126.00000,44.75692,0.00003,0.00003,0.00003
128.00000,47.63296,0.00003,0.00003,0.00003
130.00000,50.56867,0.00003,0.00003,0.00003
132.00000,53.56541,0.00003,0.00003,0.00003
134.00000,56.62385,0.00003,0.00003,0.00003
136.00000,59.74361,0.00003,0.00003,0.00003
138.00000,62.92626,0.00003,0.00003,0.00003
140.00000,66.17138,0.00003,0.00003,0.00003
142.00000,69.47955,0.00003,0.00003,0.00003
144.00000,72.85103,0.00003,0.00003,0.00003
146.00000,76.28581,0.00003,0.00003,0.00003
148.00000,79.78407,0.00003,0.00003,0.00003
150.00000,83.34544,0.00003,0.00003,0.00003
152.00000,86.96952,0.00003,0.00003,0.00003
154.00000,90.65583,13.83105,13.83105,13.83105
156.00000,94.40365,31.77902,31.77902,31.77902
158.00000,98.21209,43.42172,43.42172,43.42172
160.00000,102.07972,53.14317,53.14317,53.14317
162.00000,106.00498,61.79616,61.79616,61.79616
164.00000,109.98610,69.83581,69.83581,69.83581
166.00000,114.02079,77.45048,77.45048,77.45048
168.00000,118.10622,84.78954,84.78954,84.78954
170.00000,122.23932,91.88274,91.88274,91.88274
172.00000,126.41630,98.82447,98.82447,98.82447
174.00000,130.63285,105.62268,105.62268,105.62268
176.00000,134.87682,112.33202,112.33202,112.33202
178.00000,139.10368,118.96613,118.96613,118.96613
180.00000,143.30760,125.52658,125.52658,125.52145
182.00000,147.48898,131.98957,131.96471,131.91631
184.00000,151.64778,138.38276,138.19870,138.07151
186.00000,155.78374,144.65150,144.18146,143.98029
188.00000,159.89634,150.61691,149.92592,149.66580
190.00000,163.98457,156.28812,155.43738,155.13548
192.00000,168.04752,161.69640,160.75221,160.41419
194.00000,172.08382,166.86985,165.87612,165.51873
196.00000,176.09200,171.84070,170.83248,170.46109
198.00000,180.07049,176.62880,175.62833,175.26045
200.00000,184.01757,181.25334,180.29085,179.91927
202.00000,187.93139,185.73782,184.81919,184.45656
204.00000,191.81016,190.08741,189.22994,188.87916
206.00000,195.65198,194.31779,193.53124,193.19478
208.00000,199.45487,198.43975,197.72801,197.41192
210.00000,203.21718,202.45913,201.82803,201.53365
212.00000,206.93699,206.38415,205.83645,205.56614
214.00000,210.61286,210.22114,209.75760,209.51262
216.00000,214.24338,213.97558,213.59584,213.37780
218.00000,217.82753,217.65229,217.35480,217.16437
220.00000,221.36453,221.25617,221.03795,220.87601
222.00000,224.85414,224.79191,224.64862,224.51523
224.00000,228.29679,228.26448,228.18854,228.08453
226.00000,231.69354,231.67899,231.64609,231.58565
228.00000,235.04648,235.04123,235.02979,235.00970
230.00000,238.35877,238.35751,238.35483,238.35042
232.00000,241.63529,241.63517,241.63494,241.63452
234.00000,0.00003,0.00003,0.00003,0.00003
236.00000,0.00003,0.00003,0.00003,0.00003
238.00000,0.00003,0.00003,0.00003,0.00003
240.00000,0.00003,0.00003,0.00003,0.00003
242.00000,0.00003,0.00003,0.00003,0.00003
244.00000,0.00003,0.00003,0.00003,0.00003
246.00000,0.00003,0.00003,0.00003,0.00003
248.00000,0.00003,0.00003,0.00003,0.00003
250.00000,0.00003,0.00003,0.00003,0.00003
252.00000,0.00003,0.00003,0.00003,0.00003
254.00000,0.00003,0.00003,0.00003,0.00003
256.00000,0.00003,0.00003,0.00003,0.00003
258.00000,0.00003,0.00003,0.00003,0.00003
260.00000,0.00003,0.00003,0.00003,0.00003
262.00000,0.00003,0.00003,0.00003,0.00003
264.00000,0.00003,0.00003,0.00003,0.00003
266.00000,0.00003,0.00003,0.00003,0.00003
268.00000,0.00003,0.00003,0.00003,0.00003
270.00000,0.00003,0.00003,0.00003,0.00003
272.00000,0.00003,0.00003,0.00003,0.00003
274.00000,0.00003,0.00003,0.00003,0.00003
276.00000,0.00003,0.00003,0.00003,0.00003
278.00000,0.00003,0.00003,0.00003,0.00003
280.00000,0.00003,0.00003,0.00003,0.00003
282.00000,0.00003,0.00003,0.00003,0.00003
284.00000,0.00003,0.00003,0.00003,0.00003
286.00000,0.00003,0.00003,0.00003,0.00003
288.00000,0.00003,0.00003,0.00003,0.00003
290.00000,0.00003,0.00003,0.00003,0.00003
292.00000,0.00003,0.00003,0.00003,0.00003
294.00000,0.00003,0.00003,0.00003,0.00003
296.00000,0.00003,0.00003,0.00003,0.00003
298.00000,0.00003,0.00003,0.00003,0.00003
300.00000,0.00003,0.00003,0.00003,0.00003
